F F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W WF F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F G G G G G G G G G G G G G G F F W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G F W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W G G G G G G G G G G G F F W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F G G F F F F F F W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F G G G F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F G G G G G G G G G G G G G G F F W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G F W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W G G G G G G G G G G G F F W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F G G F F F F F F W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F G G G F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F G G G G G G G G G G G G G G F F W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G F W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W G G G G G G G G G G G F F W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F G G F F F F F F W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F G G G F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F G G G G G G G G G G G G G G F F W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G F W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W G G G G G G G G G G G F F W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F G G F F F F F F W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F G G G F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F G G G G G G G G G G G G G G F F W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G F W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W G G G G G G G G G G G F F W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F G G F F F F F F W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F G G G F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F G G G G G G G G G G G G G G F F W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G F W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W G G G G G G G G G G G F F W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F G G F F F F F F W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F G G G F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F G G G G G G G G G G G G G G F F W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G F W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F G G G G G G G G G G G G G G W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F W W W G G G G G G G G G G G F F W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W W W W G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G G G G G G G G G G G G G G G G G G W W W W W W W W W W W W W W W
G G G G G G G G G G G G G G G G G G G G F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
F F F F F F F F F F G G G G G G G G G G G G G G G G G G G F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
F W W W G G G W W F G G G G G G G G G G G G G G G G F F F F F F G G F F F F F F W W W W W W W W W W W W W W W W W W W W W
F G G G G G G G G G F F F F F F F F F F F F F F F F F F F F G G G F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W W W W W W W F W W W W W W G G G G F F F F F F F W W W W W W W W W W W W W W W W W W W W W W
G G W G G W G G G G F F F F F F F F F F G G G G W W W W W W W W F F F F F F F F W W W W W W W W W W W W W W W W W W W W W
G G G G G G G G G G W W W W W F F F F F F F F F F F F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W W W W
G G G G W W G G G G W W W W F F F F F F F F F F F F G G G F F F F F F F F F F F F W W W W W W W W W W W W W W W W W W W W
